name,city,location,date,high_price,low_price,actor,state
YOUNG ARTISTS,西安,2020.11.26 周四 20:30,,售票中,西安创矩音乐现场,40,70
津味儿摇滚之夜 李亮节摇滚大鼓新年音乐会,天津,2021.01.24 周日 19:30,,售票中,大麦66LiveHouse天津,40,200
抖in广州·粤潮制燥,广州,2020.11.28-11.29,,售票中,BIG海珠湾艺术园,0,0
与她生活节Pro 杭州站,杭州,2020.12.25 周五 20:00,,售票中,MAO Livehouse杭州,220,220
葡萄合唱团PRO(葡萄不愤怒X新学校废物合唱团)联合巡演 西安站,西安,2020.11.28 周六 20:30,,售票中,星球工厂LIVEHOUSE,150,150
神木飞行2020巡演-成都站,成都,2020.11.28 周六 20:30,,售票中,CH8冇独空间·东郊记忆店,80,150
2020异国人《沈沒紀事》巡演 杭州站,杭州,2020.12.03 周四 20:00,,售票中,酒球会(9-Club),100,120
西南之南2020声音碎片巡演 天津站,天津,2020.12.04 周五 20:00,,售票中,大麦66LiveHouse天津,150,150
【秀动呈献】白皮书乐队《我不高兴》2020巡演 临沂站,临沂,2021.03.19 周五 20:30,白皮书乐队,售票中,老橡树艺术空间,100,100
2020圣诞超级枕头大战-全程高能一战入魂 苏州站,苏州,2020.12.25 周五 19:30,,售票中,山丘咖啡HillHouse,128,228
笑丫喜剧- 奇咖秀（相爷府解压脱口秀）,上海,2020.11.23-11.30,,售票中,相爷府茶楼-五楼,1,49
【秀动呈献】“帝心引力”2020 KOZAY巡演   西安站,西安,2021.01.09 周六 20:30,,售票中,MAO Livehouse西安,138,228
MOJOHAND 2020/2021新专辑全国巡演-呼和浩特站,呼和浩特,2020.12.24 周四 20:30,,售票中,WHOHOT LIVEHOUSE,100,120
2020圣诞超级枕头大战-全程高能一战入魂,天津,2020.12.25 周五,,售票中,二十年音乐现场,128,228
一路飘绿 开往寒冬 曾雪雅 “我凉了” 2020巡演 深圳站,深圳,2020.12.09 周三 20:00,曾雪雅,售票中,深圳 HOU LIVE,80,80
幻想天空电子音乐派对 北京站,北京,2020.12.12-12.13,,售票中,MAO Livehouse北京,69,69
【珍珠剧场】英伦狂潮摇滚之夜,上海,2020.11.26 周四 21:00,,售票中,珍珠剧场The Pearl,100,100
热斑2020《NOT BAD》新专辑巡演 武汉站,武汉,2020.11.25 周三 20:30,,售票中,VOX LIVEHOUSE 武昌店,80,100
上海 | Blue Note Shanghai 音乐剧之夜 第四场,上海,2020.12.09 周三 19:30,,售票中,Blue Note Shanghai,199,199
蜂花国潮之夜霍尊游园线上演唱会,北京,2020.11.03-2021.01.02,,售票中,请到大麦APP和优酷APP观看,25,25
一代人终老去 Beyond永远年轻,天津,2021.01.31 周日 19:30,,售票中,大麦66LiveHouse天津,40,150
