name,title,score,comment,price,author,data,store,translate
悉达多,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……,9.0,27603人评价,20.00,杨玉功 译 ,2009-3 ,上海人民出版社 ,[德] 赫尔曼·黑塞 
一个叫欧维的男人决定去死,这个发生在瑞典的故事，如生命庆典般绚丽斑斓,9.0,37655人评价,35.00,宁蒙 ,2015-12 ,四川文艺出版社 ,[瑞典] 弗雷德里克·巴克曼 
最好的告别,关于衰老与死亡，你必须知道的常识,9.0,27162人评价,54.90,王一方 主编 ,2015-7-31 ,浙江人民出版社 ,[美] 阿图·葛文德（Atul Gawande） 
巨人的陨落,五个家族，一场战争,8.9,68587人评价,129.80,于大卫 ,2016-5-1 ,江苏凤凰文艺出版社 ,[英] 肯·福莱特 
你当像鸟飞往你的山,我来自一个极少有人能想象的家庭，教育给了我新世界,8.8,75676人评价,59.00,任爱红 ,2019-10-20 ,南海出版公司 ,[美] 塔拉·韦斯特弗 
教父,“教父三部曲”电影原著,9.0,32759人评价,23.30,周汉林 ,1997-8 ,译林出版社 ,[美]马里奥·普佐 
罗杰疑案,,9.2,21323人评价,28.00,常禾 ,2013-3 ,新星出版社 ,[英] 阿加莎·克里斯蒂 
飞鸟集,一个淡泊清透的世界,8.9,52468人评价,16.80,徐翰林 ,2004-6 ,哈尔滨出版社 ,[印] 罗宾德拉纳德·泰戈尔 
看不见的城市,每一座城市都只在想象中耸立，又在描述中坍圮,8.8,34686人评价,16.00,张宓 ,2006-8 ,译林出版社 ,[意大利]伊塔洛·卡尔维诺 
鼠疫,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,9.0,27305人评价,34.00,刘方 ,2013-8 ,上海译文出版社 ,(法)阿尔贝·加缪 
斯通纳,即使不能拥有完美的生活，所幸追求过完整的自我,8.8,35460人评价,49.00,杨向荣 ,2016-1 ,上海人民出版社 ,[美] 约翰·威廉斯 
人生的枷锁,在混沌纷扰的生活漩流中，寻求人生的真谛,9.0,21300人评价,32.00,张柏然 ,2007-3 ,上海译文出版社 ,[英] 毛姆 
叫魂,1768年中国妖术大恐慌,9.0,20700人评价,38.00,陈兼 ,2012-5 ,生活·读书·新知三联书店 上海三联书店 ,[美] 孔飞力 
金色梦乡,伊坂幸太郎代表作,9.0,19907人评价,35.00,李彦桦 ,2010-9 ,译林出版社 ,[日] 伊坂幸太郎 
时间简史,探索时间和空间的核心秘密,8.8,48575人评价,45.00,许明贤 ,2010-4 ,湖南科学技术出版社 ,[英] 史蒂芬·霍金 
王尔德童话,一颗纯美纯善、永难泯灭的童心,9.1,16950人评价,6.00,王林 ,2003-6 ,译林出版社 ,[英] 王尔德 
人生的智慧,对世俗、实用问题深刻而透彻的讨论,9.2,18007人评价,28.00,韦启昌 ,2008-10 ,上海人民出版社 ,[德] 阿图尔·叔本华 
一个陌生女人的来信,暗恋的极致,8.7,111080人评价,20.00,张玉书 ,2007-7 ,上海译文出版社 ,[奥] 斯台芬·茨威格 
献给阿尔吉侬的花束,当声称能改造智能的科学实验选中心智障碍主角,9.1,19130人评价,36.00,陈澄和 ,2015-4 ,广西师范大学出版社 ,[美] 丹尼尔·凯斯 
离开的，留下的,探索中年的虚无、困惑、野心和近乎残暴的爱,8.7,37535人评价,62.00,陈英 ,2017-10 ,人民文学出版社 ,[意] 埃莱娜·费兰特 
苏菲的世界,哲学启蒙书,8.8,40621人评价,26.00,萧宝森 ,2007-10 ,作家出版社 ,[挪] 乔斯坦·贾德 
史蒂夫·乔布斯传,完美主义者的最高形态,8.7,49035人评价,68.00,管延圻 ,2011-10-24 ,中信出版社 ,[美] 沃尔特·艾萨克森 
爱的艺术,谦恭地、勇敢地、真诚地和有纪律地爱他人,8.8,30473人评价,15.00,李健鸣 ,2008-4 ,上海译文出版社 ,[美] 艾·弗洛姆 
昨日的世界,一个高贵而残破的昨日镜像,9.2,10470人评价,32.00,舒昌善 ,2004-5-1 ,广西师范大学出版社 ,[奥] 斯蒂芬·茨威格 
经济学原理（上下）,经济学家们的世界观,9.1,16316人评价,88.00,梁小民 ,2003-8 ,机械工业出版社 ,[美] 曼昆 
不能承受的生命之轻,,8.8,34551人评价,29.00,许钧 ,2010-8 ,上海译文出版社 ,米兰·昆德拉 
情书,一场同名同姓的误会，两段可贵的爱情,8.6,88525人评价,18.00,穆晓芳 ,2004-7 ,天津人民出版社 ,[日] 岩井俊二 
小径分岔的花园,一个谜语，谜底正是时间,8.9,18457人评价,23.00,王永年 ,2015-7 ,上海译文出版社 ,[阿根廷] 博尔赫斯 
面纱,揭去生活的面纱,8.7,44704人评价,32.00,阮景林 ,2012-05-01 ,重庆 ,(英)W.萨默塞特·毛姆 
银河系漫游指南,一场穿越银河的冒险,8.8,18226人评价,16.00,徐百柯 ,2005-6 ,四川科学技术出版社 ,[英] 道格拉斯·亚当斯 
麦琪的礼物,日常的奇迹,8.6,60355人评价,25.00,张经浩 ,2003-7 ,上海社会科学院出版社 ,[美] 欧·亨利 
解忧杂货店,现代人内心流失的东西，这家杂货店能帮你找回,8.5,656023人评价,39.50,李盈春 ,2014-5 ,南海出版公司 ,[日] 东野圭吾 
渴望生活,梵高悲惨而成就辉煌的人生,9.2,9551人评价,29.80,常涛 ,2008-4 ,北京十月文艺出版社 ,[美] 欧文·斯通 
